X1,Y1,X2,Y2,,,,,,
-1.79E-03,-1.52E-01,-1.79E-03,-1.44E-01,,,,,,
-1.78E-03,-1.52E-01,-1.78E-03,-1.44E-01,,,,,,
-1.78E-03,-1.60E-01,-1.78E-03,-1.52E-01,,,,,,
-1.78E-03,-1.52E-01,-1.78E-03,-1.52E-01,,,,,,
-1.78E-03,-1.60E-01,-1.78E-03,-1.52E-01,,,,,,
-1.78E-03,-1.60E-01,-1.78E-03,-1.60E-01,,,,,,
-1.77E-03,-1.60E-01,-1.77E-03,-1.60E-01,,,,,,
-1.77E-03,-1.68E-01,-1.77E-03,-1.68E-01,,,,,,
-1.77E-03,-1.68E-01,-1.77E-03,-1.68E-01,,,,,,
-1.77E-03,-1.76E-01,-1.77E-03,-1.68E-01,,,,,,
-1.77E-03,-1.84E-01,-1.77E-03,-1.76E-01,,,,,,
-1.76E-03,-1.92E-01,-1.76E-03,-1.76E-01,,,,,,
-1.76E-03,-1.84E-01,-1.76E-03,-1.92E-01,,,,,,
-1.76E-03,-1.92E-01,-1.76E-03,-1.84E-01,,,,,,
-1.76E-03,-1.92E-01,-1.76E-03,-1.92E-01,,,,,,
-1.76E-03,-1.92E-01,-1.76E-03,-1.84E-01,,,,,,
-1.75E-03,-1.92E-01,-1.75E-03,-1.84E-01,,,,,,
-1.75E-03,-2.00E-01,-1.75E-03,-2.00E-01,,,,,,
-1.75E-03,-2.00E-01,-1.75E-03,-2.00E-01,,,,,,
-1.75E-03,-2.00E-01,-1.75E-03,-1.92E-01,,,,,,
-1.75E-03,-2.08E-01,-1.75E-03,-2.00E-01,,,,,,
-1.74E-03,-2.08E-01,-1.74E-03,-2.00E-01,,,,,,
-1.74E-03,-2.08E-01,-1.74E-03,-2.00E-01,,,,,,
-1.74E-03,-2.16E-01,-1.74E-03,-2.00E-01,,,,,,
-1.74E-03,-2.16E-01,-1.74E-03,-2.00E-01,,,,,,
